world_ranking,player ,national_teams,1st_world_cup_appearance,2ed_world_cup_appearance,3rd_world_cup_appearance,4th_world_cup_appearance,5th_world_cup_appearance,total_appearance,goals ,Caps,golden_ball,silver_ball,bronze_ball,golden _boot,hyundai_young_player_award,best_goalkeeper,golden_glove
2,Diego Maradona,Argentina,1982,1986,1990,1994,,21,8,,1986,,,,,,
31,Mario Kempes,Argentina,1974,1978,1982,,,18,8,,1978,,,1978,,,
45,Daniel Passarella,Argentina,1978,1982,1986,,,12,3,,,,,,,,
51,Lionel Messi,Argentina,2006,2010,2014,,,8,1,,2014,,,,,,
81,Sergio Batista,Argentina,1986,1990,,,,11,0,,,,,,,,
,Angel Di Maria,Argentina,2014,,,,,,,,,,,,,,
,Javier Mascherano,Argentina,2014,,,,,,,,,,,,,,
,Gonzalo Higuain,Argentina,2014,,,,,,,,,,,,,,
,Pablo Zabaleta,Argentina,2014,,,,,,,,,,,,,,
,Sergio Aguero,Argentina,2014,,,,,,,,,,,,,,
87,Luis Monti,Argentina,1930,,,,,9,2,,,,,,,,
1,Pele,Brazil,1958,1962,1966,1970,,14,12,,1970,,,,,,
4,Ronaldo,Brazil,1994,1998,2002,2006,,19,15,,1998,2002,,2002,,,
9,Garrincha,Brazil,1958,1962,1966,,,12,5,,,,,1962,,,
13,Jairzinho,Brazil,1966,1970,1974,,,16,9,,,,,,,,
16,Romario,Brazil,1990,1994,,,,8,5,,1994,,,,,,
22,Zico,Brazil,1978,1982,1986,,,14,5,,,,,,,,
23,Ronaldinho,Brazil,2002,2006,,,,10,2,,,,,,,,
25,Cafu,Brazil,1994,1998,2002,2006,,20,0,,,,,,,,
27,Rivaldo,Brazil,1998,2002,,,,14,8,,,,,,,,
28,Mario Zagallo,Brazil,1958,1962,,,,12,2,,,,,,,,
32,Roberto Rivelino,Brazil,1970,1974,1978,,,15,6,,,,,,,,
34,Carlos Alberto,Brazil,1970,,,,,7,1,,,,,,,,
35,Roberto Carlos,Brazil,1998,2002,2006,,,17,1,,,,,,,,
48,Djalma Santos,Brazil,1954,1958,1962,1966,,12,1,,,,,,,,
49,Nilton Santos,Brazil,1950,1954,1958,1962,,12,1,,,,,,,,
52,Tostao,Brazil,1966,1970,,,,7,3,,,,,,,,
57,Vava,Brazil,1958,1962,,,,10,9,,,,,1962,,,
79,Didi,Brazil,1954,1958,1962,,,15,3,,,,,,,,
85,Bellini,Brazil,1958,1962,1966,,,8,0,,,,,,,,
