Year,Teams,Total points,
1930,Argentina,8,122
1934,Argentina,0,
1938,Argentina,,
1950,Argentina,,
1954,Argentina,,
1958,Argentina,2,
1962,Argentina,3,
1966,Argentina,5,
1970,Argentina,,
1974,Argentina,4,
1982,Argentina,4,
1990,Argentina,13,
1994,Argentina,6,
1998,Argentina,10,
2002,Argentina,4,
2006,Argentina,11,
2010,Argentina,12,
2014,Argentina,16,
1978,Argentina,11,
1986,Argentina,13,
1930,Brazil,2,184
1934,Brazil,0,
1938,Brazil,5,
1950,Brazil,9,
1954,Brazil,3,
1966,Brazil,2,
1974,Brazil,8,
1978,Brazil,11,
1982,Brazil,8,
1986,Brazil,9,
1990,Brazil,9,
1998,Brazil,13,
2006,Brazil,12,
2010,Brazil,10,
2014,Brazil,11,
1958,Brazil,11,
1962,Brazil,11,
1970,Brazil,12,
1994,Brazil,17,
2002,Brazil,21,
1930,Germany,,175
1934,Germany,6,
1938,Germany,1,
1950,Germany,,
1958,Germany,6,
1962,Germany,5,
1966,Germany,9,
1970,Germany,10,
1978,Germany,6,
1982,Germany,8,
1986,Germany,8,
1994,Germany,10,
1998,Germany,10,
2002,Germany,16,
2006,Germany,16,
2010,Germany,15,
1954,Germany,10,
1974,Germany,12,
1990,Germany,8,
2014,Germany,19,
1930,Italy,,114
1950,Italy,2,
1954,Italy,2,
1958,Italy,,
1962,Italy,3,
1966,Italy,2,
1970,Italy,8,
1974,Italy,3,
1978,Italy,9,
1986,Italy,4,
1990,Italy,4,
1994,Italy,14,
1998,Italy,11,
2002,Italy,4,
2010,Italy,2,
2014,Italy,3,
1982,Italy,11,
1934,Italy,7,
1938,Italy,8,
2006,Italy,17,
